Augmented Image No.,Image no.,Date,Time ,DATE & TIME,Place,NowCastConc. Unit,PM2.5,AQI Category,Raw Conc.,Conc. Unit,Remarks
100_augmented_1111.jpg,100,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
100_augmented_1302.jpg,100,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
100_augmented_1700.jpg,100,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
100_augmented_672.jpg,100,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
100_augmented_769.jpg,100,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
100_augmented_787.jpg,100,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
100_augmented_801.jpg,100,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
101_augmented_1981.jpg,101,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
101_augmented_820.jpg,101,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
102_augmented_1046.jpg,102,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
102_augmented_1190.jpg,102,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
102_augmented_1310.jpg,102,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
102_augmented_1496.jpg,102,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
102_augmented_253.jpg,102,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
102_augmented_399.jpg,102,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
103_augmented_1408.jpg,103,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
103_augmented_1428.jpg,103,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
103_augmented_1560.jpg,103,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
103_augmented_1719.jpg,103,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
103_augmented_2172.jpg,103,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
103_augmented_223.jpg,103,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
103_augmented_62.jpg,103,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
104_augmented_178.jpg,104,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
104_augmented_2166.jpg,104,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
104_augmented_839.jpg,104,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
105_augmented_1013.jpg,105,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
105_augmented_274.jpg,105,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
105_augmented_528.jpg,105,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
105_augmented_690.jpg,105,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
105_augmented_729.jpg,105,31.12.2024,1:10 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
106_augmented_11.jpg,106,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
106_augmented_1259.jpg,106,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
106_augmented_1730.jpg,106,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
106_augmented_176.jpg,106,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
106_augmented_184.jpg,106,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
106_augmented_2010.jpg,106,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
106_augmented_2057.jpg,106,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
106_augmented_2193.jpg,106,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
106_augmented_316.jpg,106,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
106_augmented_461.jpg,106,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
106_augmented_772.jpg,106,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
107_augmented_1448.jpg,107,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
107_augmented_164.jpg,107,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
107_augmented_1667.jpg,107,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
108_augmented_1295.jpg,108,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
108_augmented_1333.jpg,108,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
108_augmented_1789.jpg,108,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
108_augmented_1828.jpg,108,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
108_augmented_1956.jpg,108,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
108_augmented_2016.jpg,108,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
108_augmented_557.jpg,108,31.12.2024,1:11 PM,,"Tejgoan Industrial Area, Dhaka",153,117,Unhealthy ,40,UG/M3,
109_augmented_1243.jpg,109,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
109_augmented_2124.jpg,109,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
109_augmented_702.jpg,109,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
109_augmented_777.jpg,109,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
109_augmented_846.jpg,109,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
10_augmented_1213.jpg,10,8.12.2024,12:03 PM,,Mohammadpur,15.4,170, Unhealthy,93,UG/M3,
10_augmented_267.jpg,10,8.12.2024,12:03 PM,,Mohammadpur,15.4,170, Unhealthy,93,UG/M3,
10_augmented_609.jpg,10,8.12.2024,12:03 PM,,Mohammadpur,15.4,170, Unhealthy,93,UG/M3,
10_augmented_709.jpg,10,8.12.2024,12:03 PM,,Mohammadpur,15.4,170, Unhealthy,93,UG/M3,
110_augmented_1995.jpg,110,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
110_augmented_494.jpg,110,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
110_augmented_511.jpg,110,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
110_augmented_641.jpg,110,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
110_augmented_77.jpg,110,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
111_augmented_1519.jpg,111,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
111_augmented_1979.jpg,111,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
112_augmented_1103.jpg,112,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
112_augmented_117.jpg,112,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
112_augmented_1563.jpg,112,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
112_augmented_1594.jpg,112,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
112_augmented_2186.jpg,112,31.12.2024,1:11 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
113_augmented_1387.jpg,113,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
113_augmented_1440.jpg,113,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
113_augmented_2107.jpg,113,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
113_augmented_2138.jpg,113,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
113_augmented_9.jpg,113,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
114_augmented_1119.jpg,114,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
114_augmented_1232.jpg,114,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
114_augmented_1405.jpg,114,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
114_augmented_1422.jpg,114,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
114_augmented_1438.jpg,114,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
115_augmented_1270.jpg,115,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
115_augmented_866.jpg,115,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
116_augmented_1116.jpg,116,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
116_augmented_1725.jpg,116,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
116_augmented_436.jpg,116,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
116_augmented_836.jpg,116,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
117_augmented_1117.jpg,117,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
117_augmented_1877.jpg,117,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
117_augmented_231.jpg,117,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
117_augmented_469.jpg,117,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
117_augmented_727.jpg,117,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
117_augmented_734.jpg,117,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
117_augmented_770.jpg,117,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
118_augmented_1090.jpg,118,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
118_augmented_1284.jpg,118,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
118_augmented_225.jpg,118,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
118_augmented_875.jpg,118,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
119_augmented_1431.jpg,119,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
119_augmented_1898.jpg,119,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
119_augmented_2026.jpg,119,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
119_augmented_2185.jpg,119,31.12.2024,1:12 PM,,"Dohar, Nobabganj",180,139,Unhealthy for Sensitive groups,50.9,UG/M3,
